adj.P.Val,logFC,P.Value
0.9667950202,-0.2052487638,0.6407762784
0.9941325127,-0.0811514166,0.8501232323
0.961,-0.1948165058,0.6177866412
0.9941325127,-0.1705296608,0.8548843996
0.7704470386,0.5475195591,0.232855408
0.9350110575,-0.4482870972,0.5233898177
0.9936706395,-0.1624527707,0.8443762327
0.9608022592,-0.3295652585,0.6177799154
0.9898250118,-0.1349183425,0.7921434589
0.9676350952,0.2675363891,0.6491710696
0.9575900835,0.1510945748,0.607204969
0.615,-0.7073405548,0.1194652577
0.9995327291,-0.0144503054,0.9785662496
0.9995327291,-0.0114056878,0.9736522483
0.9332418468,0.2498017445,0.5187619528
0.8858410166,0.9044281615,0.3987213972
0.9970467288,-0.0232273559,0.9185937378
0.9916692318,-0.1108772945,0.8187705194
0.9973745623,-0.0481483216,0.9288582945
0.9617755449,-0.2376005773,0.6230599844
0.67731449,0.9980418208,0.1573770121
0.589565112,-0.6887638857,0.1075852994
0.9485256906,-0.2971736371,0.5729729323
0.9999047411,0.0053892697,0.9939618963
0.9830961358,0.1594267532,0.741413384
0.9947273519,0.0895998204,0.8786009227
0.9924860248,0.0813267314,0.8278386087
0.4724101869,-1.0883460219,0.0637219626
0.9819264495,0.1518921954,0.7345369582
0.882510833,0.5663173014,0.3919868787
0.9432348625,0.6012489441,0.5494791869
0.9935944417,-0.1943008749,0.8404824871
0.9955724513,0.1069196935,0.9087829007
0.7592645414,1.5985735985,0.221886384
0.9947273519,-0.0648644511,0.867599807
0.9808121129,-0.4112161307,0.7169361969
0.9764334633,-0.1545274386,0.6948920765
0.955153316,0.3328806042,0.5986966251
0.9947273519,0.0686385292,0.8871078879
0.9830961358,0.1275770386,0.7412629904
0.9734725856,-0.1011837711,0.6754486838
0.9856489845,-0.1524340304,0.7574344143
0.9800078258,-0.1412723784,0.7121553451
0.9999047411,0.0035024429,0.9938633124
0.9672002827,-0.1645829047,0.6423345591
0.9686655077,-0.1972933056,0.6543411764
0.995397597,-0.0662059816,0.9049789967
0.9791968516,0.3270729174,0.7081674679
0.442,0.3039394424,0.0542226107
0.9916692318,0.0412435601,0.8229074666
0.6425420856,0.2549394828,0.1324802878
0.945654101,-0.2830942758,0.5625447721
0.8082017692,0.159448993,0.2726505213
0.1171438263,0.4038808588,0.0048649519
0.9994796892,0.0467165452,0.9584867631
0.7932816872,-0.2094642325,0.2550854396
0.9749882445,-0.2151136319,0.6902550405
0.9947273519,-0.065620886,0.8675966199
0.846637824,0.2352796965,0.3236042519
0.6279769303,-0.343882817,0.1260125322
0.9334312979,0.2550202624,0.5190235646
0.623389951,-0.6020478544,0.123410924
0.6956402671,-0.2438609854,0.1701781329
0.4777099926,-0.8730759604,0.0653651657
0.6392200135,-0.9748783808,0.1310694538
0.7446523128,0.7282458014,0.2086311774
0.9109428794,0.1468299951,0.450951906
0.6579645286,-0.2784654263,0.1439764388
0.9994796892,0.0169450388,0.959195151
0.9935944417,0.0773803266,0.8395665408
0.9402907355,-0.1841894267,0.5408327568
0.9476937458,-0.2965540498,0.5695732369
0.9910042415,-0.1127388171,0.7981904402
0.9956922504,0.0796264562,0.9118328097
0.2618071186,-0.5513089993,0.0190197726
0.9856489845,-0.1555113893,0.7572466943
0.9975467058,0.0207040575,0.9334110912
0.9995327291,-0.0099376413,0.9827874597
0.4094641063,-0.6958362607,0.0465293917
0.9994796892,0.0221137337,0.9706878558
0.3362741455,-0.861167556,0.0311635515
0.8780766066,0.3448632636,0.3851731767
0.8387633647,0.6520712801,0.3132421295
0.9780212539,-0.3618107103,0.7041873581
0.7285434787,0.7055226693,0.1947694778
0.9314660656,0.6433382267,0.5140891536
0.955153316,0.2831961119,0.5978067182
0.8474452905,0.3608721781,0.3263313629
0.9659237387,0.2874199455,0.632281576
0.9947273519,0.1931537413,0.8870585757
0.9109428794,-0.3257101795,0.4512237823
0.9607418494,0.2960402305,0.6149761408
0.9935944417,-0.1261177308,0.8361603681
0.870312777,-0.2963194181,0.3696326337
0.8440076462,-0.2602233359,0.3204512096
0.817,0.7626817681,0.2852392664
0.9721676879,-0.5298525902,0.6691335052
0.955153316,-0.235894226,0.5979155622
0.9935944417,-0.2516067273,0.8340500217
0.8845899019,-0.1685251096,0.3959134795
0.9219983226,-0.7955221157,0.4850872007
0.860996024,-0.2502939653,0.3449255327
0.9664389209,-0.7608368982,0.6371325325
0.9947273519,0.1103957609,0.88132818
0.9609013862,-0.2153506461,0.620407773
0.6468906982,0.2304654455,0.1356652889
0.8617768093,-0.5921686252,0.3467347094
0.9947273519,0.1388359347,0.8925189117
0.9011613703,-0.2997144812,0.4273553353
0.9259777712,-0.2827445218,0.4970758954
0.9757604457,0.0885339799,0.6930819922
0.996929896,-0.0536283042,0.917297254
0.9973745623,-0.1000752464,0.9272126313
0.9139042628,-0.1951626907,0.4588923843
0.8283730799,-0.299819931,0.2992704188
0.6342183843,-0.6686969455,0.1289792399
0.8330466405,-0.2762594057,0.3044458245
0.9947273519,0.0229458857,0.8672273179
0.3118627583,-0.393265675,0.0273615148
